pole_id,lon,lat,x_5179,y_5179,grid_ix,grid_iy,grid_id,pole_count,pole_density,grid_final_risk_score,grid_final_risk_score_100,grid_final_risk_grade,risk_mean,risk_max,risk_p95,risk_p90,high_day_count,very_high_day_count,high_day_ratio,peak_date,peak_grid_risk_score_100,peak_dry_weather_score,peak_wind_score,peak_asset_exposure_score,peak_warning_score,peak_temp_max,peak_humidity_min,peak_rain_sum,peak_rain_sum_7d,peak_wind_max,peak_wind_max_7d,peak_no_rain_days,peak_dry_warning_flag,peak_strong_wind_warning_flag,pole_risk_score,pole_risk_score_100,pole_risk_rank,pole_risk_percentile
1326393,128.41260723414496,38.093171069022326,1080023.8146007287,2010730.8077790213,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,21,1.513152538025163e-05
1326394,128.41287661819783,38.09278499366615,1080047.857680625,2010688.2021036346,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,22,1.585207420788266e-05
1326395,128.41345140512203,38.09272679155049,1080098.3238558918,2010682.2397873767,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,23,1.657262303551369e-05
1326396,128.4140152706549,38.092632929624656,1080147.871366587,2010672.311642502,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,24,1.729317186314472e-05
1326397,128.41457314830575,38.09250476154177,1080196.931419135,2010658.5721095633,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,25,1.801372069077575e-05
1326398,128.41509225518377,38.09236743405213,1080242.6018582135,2010643.7830646886,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,26,1.873426951840678e-05
1326399,128.41561062492605,38.09219917847765,1080288.2416646495,2010625.5619412938,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,27,1.945481834603781e-05
1326400,128.41607931120515,38.09196943790982,1080329.5922262159,2010600.4758866935,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,28,2.017536717366884e-05
1326401,128.41646384591388,38.09164620936404,1080363.6661174477,2010564.9440435055,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,29,2.0895916001299872e-05
1326402,128.41700547583926,38.09168921346447,1080411.114886876,2010570.184520807,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,30,2.16164648289309e-05
1326403,128.41746904740972,38.09142997120338,1080452.0499444283,2010541.8212240434,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,31,2.233701365656193e-05
1326404,128.41803531975748,38.09144302320554,1080501.6925749956,2010543.7601741215,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,32,2.305756248419296e-05
1326405,128.418487114739,38.091232062225366,1080541.5424013715,2010520.7442706109,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,33,2.377811131182399e-05
1326406,128.4188541952935,38.09091613049068,1080574.0789684926,2010486.0077882581,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,34,2.449866013945502e-05
1326407,128.41936838012055,38.09080194527503,1080619.2940597087,2010473.7843657667,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,35,2.521920896708605e-05
1326408,128.41981720221733,38.09052310911519,1080658.9584642267,2010443.2352043951,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,36,2.593975779471708e-05
1326409,128.42038092310818,38.090402265754015,1080708.5251763985,2010430.3165283632,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,37,2.666030662234811e-05
1326410,128.42090473548325,38.09027582400739,1080754.5985424232,2010416.7422660268,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,38,2.738085544997914e-05
1326411,128.42143075920092,38.090128402526126,1080800.889082725,2010400.8423325554,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,39,2.810140427761017e-05
1326412,128.4217362408243,38.08973813497461,1080828.107318216,2010357.805154957,1080,2010,1080_2010,86,86.0,0.6773260568458648,67.733,high,0.5706894495940584,0.7453633552768382,0.7347134350216546,0.7190316168398366,14,4,0.45161290322580644,2025-03-11,74.536,0.9174242424242424,1.0,0.6419682915357058,0.0,7.0,11.0,0.0,0.0,14.7,14.7,11,0,0,0.6773260568458648,67.733,40,2.88219531052412e-05
