grid_id,pole_count,pole_density,center_lon,center_lat,risk_mean,risk_max,risk_p95,risk_p90,risk_std,date_count,high_day_count,very_high_day_count,dry_weather_mean,wind_mean,asset_exposure_mean,warning_mean,high_day_ratio,very_high_day_ratio,grid_final_risk_score,grid_final_risk_score_100,peak_date,peak_grid_risk_score,peak_grid_risk_score_100,peak_dry_weather_score,peak_wind_score,peak_asset_exposure_score,peak_warning_score,peak_temp_max,peak_humidity_min,peak_rain_sum,peak_rain_sum_7d,peak_wind_max,peak_wind_max_7d,peak_no_rain_days,peak_dry_warning_flag,peak_strong_wind_warning_flag,grid_final_risk_grade,sw_lon,sw_lat,ne_lon,ne_lat
1118_1923,135,135.0,128.8371093444722,37.302918526375834,0.5123346405199903,0.7101607907220296,0.703348836167615,0.6247905432025397,0.10807099919531402,31,7,3,0.5511608015640274,0.5796065480316844,0.7271396792879788,0.010271646859083192,0.22580645161290322,0.0967741935483871,0.619775942676664,61.978,2025-03-25,0.7101607907220296,71.016,0.7799242424242425,1.0,0.7271396792879788,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.83138948613083,37.298476362453556,128.84282987545836,37.30736039732756
1136_1958,517,517.0,129.04663470018932,37.61581573899156,0.5342859507719004,0.7117733553607437,0.6611831989175418,0.6383050643425311,0.09917284428832066,31,10,1,0.5494379276637341,0.4662024020240907,0.9820971608576086,0.010271646859083192,0.3225806451612903,0.03225806451612903,0.6196500486679091,61.965,2025-03-25,0.7117733553607437,71.177,0.8340909090909091,0.7158176066324862,0.9820971608576086,0.018421052631578946,24.5,22.0,0.0,0.0,8.8,8.8,7,0,0,high,129.0408782712766,37.61138473538339,129.05239181197555,37.620246443278916
1127_1906,134,134.0,128.9357262231468,37.14853661204137,0.5120532399473995,0.7098793901494388,0.7030674355950242,0.6245091426299488,0.10807099919531402,31,7,3,0.5511608015640274,0.5796065480316844,0.7257326764250246,0.010271646859083192,0.22580645161290322,0.0967741935483871,0.6195226821613322,61.952,2025-03-25,0.7098793901494388,70.988,0.7799242424242425,1.0,0.7257326764250246,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.9300126769035,37.14409897795772,128.9414404368153,37.1529739531856
1120_1918,134,134.0,128.8588604231048,37.257604135895775,0.5120532399473995,0.7098793901494388,0.7030674355950242,0.6245091426299488,0.10807099919531402,31,7,3,0.5511608015640274,0.5796065480316844,0.7257326764250246,0.010271646859083192,0.22580645161290322,0.0967741935483871,0.6195226821613322,61.952,2025-03-25,0.7098793901494388,70.988,0.7799242424242425,1.0,0.7257326764250246,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.85314283001978,37.25316294767753,128.864578687307,37.2620450312625
1116_1912,134,134.0,128.81282608766946,37.2040429774911,0.5120532399473995,0.7098793901494388,0.7030674355950242,0.6245091426299488,0.10807099919531402,31,7,3,0.5511608015640274,0.5796065480316844,0.7257326764250246,0.010271646859083192,0.22580645161290322,0.0967741935483871,0.6195226821613322,61.952,2025-03-25,0.7098793901494388,70.988,0.7799242424242425,1.0,0.7257326764250246,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.8071152670382,37.19959939644793,128.81853757769545,37.20848626691977
1098_1903,212,212.0,128.6088381669138,37.12500485590386,0.5356421756425394,0.7340971027666867,0.6741947518908857,0.6539184515858424,0.09000025889386909,31,6,1,0.6116935483870968,0.5075588453674998,0.8126714895848156,0.010271646859083192,0.1935483870967742,0.03225806451612903,0.6193854229683357,61.939,2025-03-25,0.7340971027666867,73.41,0.8352272727272727,0.9388349514563107,0.8126714895848156,0.018421052631578946,22.5,18.0,0.0,0.0,11.5,11.5,7,0,0,high,128.60314509843727,37.12055108106485,128.61453190237876,37.12945834303126
1115_1924,133,133.0,128.80342214778707,37.31230772720412,0.5117697471580382,0.7095958973600774,0.7027839428056628,0.6242256498405876,0.10807099919531399,31,7,2,0.5511608015640274,0.5796065480316844,0.7243152124782183,0.010271646859083192,0.22580645161290322,0.06451612903225806,0.619267538650907,61.927,2025-03-25,0.7095958973600774,70.96,0.7799242424242425,1.0,0.7243152124782183,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.7977034949768,37.30786391721233,128.80914147359067,37.31675124464733
1126_1976,342,342.0,128.93648859756894,37.779435813821486,0.5304741904135357,0.7094095058415134,0.6818424843552133,0.6499057157227025,0.09553391600907334,31,8,1,0.5285312805474095,0.5472809199900062,0.9035035058410393,0.010271646859083192,0.25806451612903225,0.03225806451612903,0.6188394862644646,61.884,2025-03-24,0.7094095058415134,70.941,0.7909090909090909,0.8446438311334135,0.9035035058410393,0.007894736842105263,24.2,20.0,0.0,6.5,9.4,10.9,6,0,0,high,128.93072555960566,37.774999676469044,128.942252324091,37.783871651890856
1128_1918,131,131.0,128.9490497068402,37.25653450550681,0.5111963588412727,0.709022509043312,0.7022105544888972,0.623652261523822,0.108070999195314,31,7,2,0.5511608015640274,0.5796065480316844,0.7214482708943907,0.010271646859083192,0.22580645161290322,0.06451612903225806,0.618751489165818,61.875,2025-03-25,0.709022509043312,70.902,0.7799242424242425,1.0,0.7214482708943907,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.94332704305015,37.25209778212848,128.95477304160838,37.260970934665735
1113_1918,131,131.0,128.77994100675807,37.258483725223705,0.5111963588412727,0.709022509043312,0.7022105544888972,0.623652261523822,0.108070999195314,31,7,2,0.5511608015640274,0.5796065480316844,0.7214482708943907,0.010271646859083192,0.22580645161290322,0.06451612903225806,0.618751489165818,61.875,2025-03-25,0.709022509043312,70.902,0.7799242424242425,1.0,0.7214482708943907,0.018421052631578946,18.9,26.0,0.0,0.0,12.9,12.9,7,0,0,high,128.77422786709218,37.25403863884344,128.78565481765546,37.26292851995087
