grid_id,pole_count,pole_density,center_lon,center_lat,sw_lon,sw_lat,ne_lon,ne_lat
1043_1925,601,601.0,127.99100768516394,37.32748179608101,127.98533511796612,37.32299827647559,127.99668092645831,37.33196503546759
1121_1973,599,599.0,128.87922361427178,37.75308234540578,128.87346600491256,37.748643279783586,128.8849819113605,37.75752111289248
1024_1983,599,599.0,127.7784888119451,37.8509559639554,127.77278882372252,37.84646275247639,127.78418949200368,37.85544889334356
1040_1926,598,598.0,127.95720072899456,37.33663110517471,127.95152946002891,37.33214596277415,127.96287267237462,37.341115967787786
1031_1965,594,594.0,127.85727434927989,37.68850551599473,127.85158215286077,37.6840159544957,127.86296723197769,37.69299479578715
1031_1964,593,593.0,127.85723112034287,37.679492306643894,127.85153961952935,37.675002732712834,127.86292330712934,37.68398159895807
1140_1954,593,593.0,129.0911736792755,37.57917296320795,129.08541758683725,37.57474410215682,129.0969304532935,37.58360152462553
1122_1972,592,592.0,128.89040356140066,37.74393834629284,128.8846460267184,37.739499819482454,128.89616178348848,37.74837657488813
1035_1929,590,590.0,127.90090130949152,37.36387678321987,127.89523129939266,37.35938895466196,127.90657199493293,37.36836433259141
1113_1984,590,590.0,128.7901557465624,37.85323006191573,128.7843953837849,37.84878676055903,128.79591680058485,37.85767306549666
1119_1983,588,588.0,128.85817531953074,37.843452555157555,128.8524117528,37.839012637631924,128.86393957709626,37.847892173957895
1055_1976,588,588.0,128.13031156291947,37.786507059808315,128.12459546524465,37.782030952301064,128.13602835009385,37.790982880406595
1033_1964,587,587.0,127.87991201749556,37.67942142584454,127.87421916461294,37.674932953600226,127.88560555634174,37.683909616121205
1042_1943,585,585.0,127.98075616907589,37.48977089770367,127.97507185259654,37.48528709002618,127.98644116508237,37.49425442372474
1095_2021,585,585.0,128.59051719064394,38.18870972952609,128.5847418003333,38.18425711765742,128.59629328397838,38.19316204330574
1024_1993,580,580.0,127.77882858294927,37.94108549357288,127.77312158670297,37.93659239437044,127.78453627412365,37.94557830978534
1117_1984,577,577.0,128.8356126253799,37.852723172366574,128.82984964021352,37.84828214510818,128.8413763017236,37.85716390115354
1023_1981,577,577.0,127.7670570312012,37.83295620749951,127.76135912466056,37.82846242119852,127.77275562896463,37.83744971206549
1025_1984,577,577.0,127.78989086405066,37.85994154050777,127.78418949200368,37.85544889334356,127.7955929282385,37.86443390531492
1113_1991,576,576.0,128.7912568514352,37.91630555202897,128.78549139801478,37.911862441387484,128.79702299826002,37.92074836423933
1024_1982,573,573.0,127.77845491810328,37.841942934763495,127.77275562896463,37.83744971206549,127.78415489876949,37.84643587546045
1088_1927,572,572.0,128.499132795399,37.34230914582353,128.49342939248612,37.337850405141985,128.50483687259114,37.34676759832344
1117_1983,571,571.0,128.83545007654396,37.84371249400785,128.82968781847686,37.83927143880007,128.8412130254805,37.848153250837896
1124_1968,571,571.0,128.912412982139,37.70762611195909,128.90665704738245,37.70318860392645,128.91816960304206,37.712063321804884
1112_1994,570,570.0,128.78035155436442,37.94346207095703,128.77458457368868,37.93901847220696,128.78611922938887,37.947905371169135
1017_1989,568,568.0,127.69906659680065,37.905195449288605,127.69336721795527,37.90069843216619,127.70476666935713,37.90969218501804
